row_id,Lat,Lon,Date,Kommun,Lan,Quantity,Pressence
4533,60.65893850785717,15.450562125304753,2024-09-17 00:00:00,Falun,Dalarna,1,0
4534,60.659404698559435,15.45037412091377,2024-09-17 00:00:00,Falun,Dalarna,1,0
4535,60.659341730912324,15.450319956732248,2024-09-17 00:00:00,Falun,Dalarna,1,0
4536,60.65931495307147,15.450375111109121,2024-09-17 00:00:00,Falun,Dalarna,1,0
4537,60.65931539035311,15.450539682932057,2024-09-17 00:00:00,Falun,Dalarna,1,0
4538,60.66442978526506,15.463834376410848,2024-09-17 00:00:00,Falun,Dalarna,1,0
4539,60.661183664580335,15.457943741666888,2024-09-17 00:00:00,Falun,Dalarna,1,0
4540,60.65720292786224,15.445918562734255,2024-09-17 00:00:00,Falun,Dalarna,1,0
4541,60.65735559357211,15.445953427744504,2024-09-17 00:00:00,Falun,Dalarna,1,0
4542,60.657634640592654,15.446261161774554,2024-09-17 00:00:00,Falun,Dalarna,1,0
4543,60.65745843767467,15.447488239639254,2024-09-17 00:00:00,Falun,Dalarna,1,0
4544,60.657492963129286,15.446975868241523,2024-09-17 00:00:00,Falun,Dalarna,1,0
4545,60.65762797376099,15.447120647231063,2024-09-17 00:00:00,Falun,Dalarna,1,0
4546,60.65767328777524,15.44728471102912,2024-09-17 00:00:00,Falun,Dalarna,1,0
4547,60.657717277762266,15.446955084439036,2024-09-17 00:00:00,Falun,Dalarna,1,0
4548,60.65768996152527,15.446809105692134,2024-09-17 00:00:00,Falun,Dalarna,1,0
4549,60.65766274333256,15.446699696820772,2024-09-17 00:00:00,Falun,Dalarna,1,0
4550,60.65773493242659,15.446845175378236,2024-09-17 00:00:00,Falun,Dalarna,1,0
4551,60.657717277762266,15.446955084439036,2024-09-17 00:00:00,Falun,Dalarna,1,0
4552,60.657727086042684,15.447265826942562,2024-09-17 00:00:00,Falun,Dalarna,1,0
4553,60.65773596254184,15.447229157351536,2024-09-17 00:00:00,Falun,Dalarna,1,0
4554,60.65776298423444,15.447265427430974,2024-09-17 00:00:00,Falun,Dalarna,1,0
4555,60.657772056821294,15.447301897307092,2024-09-17 00:00:00,Falun,Dalarna,1,0
4556,60.65774577018649,15.447539900120585,2024-09-17 00:00:00,Falun,Dalarna,1,0
4557,60.65770119130665,15.447650108152715,2024-09-17 00:00:00,Falun,Dalarna,1,0
4558,60.659503855879784,15.450537604475894,2024-09-17 00:00:00,Falun,Dalarna,1,0
4559,58.72704301087595,11.824677809572803,2024-08-06 12:00:00,Munkedal,Västra Götaland,1,0
